noise_sigma,outlier_ratio,method,time,iters,final_energy,rot_err_fricp,trans_err_fricp
0.0,0.0,Standard ICP,0.24288201332092285,17,1.06754e-09,0.045915845004382616,4.8712444356686185e-08
0.0,0.0,Fast ICP,0.17583250999450684,8,1.06754e-09,0.045915845004382616,4.8712444356686185e-08
0.0,0.0,Robust ICP,0.305370569229126,16,0.000752673,0.045915845004382616,4.8712444356686185e-08
0.0,0.1,Standard ICP,0.7691004276275635,58,37.5079,4.501012414537641,0.016022519343673502
0.0,0.1,Fast ICP,0.6772754192352295,39,37.508,4.5533480962368245,0.015749525831650082
0.0,0.1,Robust ICP,0.2970235347747803,20,1543.85,0.04579605396331488,4.8712444356686185e-08
0.0,0.3,Standard ICP,1.7145369052886963,92,115.414,16.543727988283184,0.0558286436291498
0.0,0.3,Fast ICP,1.7062537670135498,55,115.414,16.55830238811845,0.05593043030494845
0.0,0.3,Robust ICP,0.9125447273254395,45,4632.17,0.0,4.8712444356686185e-08
0.0,0.5,Standard ICP,2.5171806812286377,100,187.597,33.69512220062463,0.1192742984595568
0.0,0.5,Fast ICP,2.7260990142822266,70,187.569,35.33695113665495,0.12731930573328168
0.0,0.5,Robust ICP,3.0623857975006104,104,7721.93,0.038414621950356394,1.0248434411893964e-07
0.005,0.0,Standard ICP,0.5067265033721924,58,0.159722,0.0,0.00017147594978396259
0.005,0.0,Fast ICP,0.20006132125854492,14,0.159722,0.028096591740799214,0.0001748223723242219
0.005,0.0,Robust ICP,0.9261767864227295,92,14263.5,0.18453328488399673,0.002742112472872544
0.005,0.1,Standard ICP,0.827232837677002,69,38.3961,5.933577340412574,0.018021157270958366
0.005,0.1,Fast ICP,0.4538586139678955,23,38.396,6.115200598155998,0.018615470994066415
0.005,0.1,Robust ICP,1.7412278652191162,122,14386.2,0.09222528163890652,0.0019199387083600344
0.005,0.3,Standard ICP,1.6817946434020996,86,112.788,15.179698927129387,0.04857343062180466
0.005,0.3,Fast ICP,0.7916123867034912,29,112.788,15.25755975985783,0.048921026722189925
0.005,0.3,Robust ICP,4.672739028930664,216,14625.1,0.38019945805574784,0.0006572908362397369
0.005,0.5,Standard ICP,1.8832201957702637,78,181.847,27.722507403327132,0.10266779416518125
0.005,0.5,Fast ICP,0.9686603546142578,28,181.86,29.24177746380841,0.10436723899934888
0.005,0.5,Robust ICP,6.245434522628784,219,14838.0,0.18325171217691097,0.0019549381321293403
0.01,0.0,Standard ICP,0.5979862213134766,60,0.475147,0.08223032377214524,0.0002974847173140173
0.01,0.0,Fast ICP,0.29553771018981934,22,0.475147,0.021726377544722536,0.00035638113420086935
0.01,0.0,Robust ICP,1.88118577003479,152,14827.5,0.5775802942922019,0.0025814864688033195
0.01,0.1,Standard ICP,0.9682612419128418,73,37.8821,4.59782896942204,0.016079601745668505
0.01,0.1,Fast ICP,0.5103814601898193,26,37.8821,4.62592946322376,0.016044915253714088
0.01,0.1,Robust ICP,2.308223247528076,146,14883.3,0.3773164650997495,0.0019463246319995893
0.01,0.3,Standard ICP,1.673046350479126,84,108.825,17.01276623852244,0.058380922779748406
0.01,0.3,Fast ICP,0.9232773780822754,27,108.825,17.263108424425774,0.05897059584354591
0.01,0.3,Robust ICP,4.715336561203003,214,15012.5,0.32071504783872146,0.0026282411466172044
0.01,0.5,Standard ICP,2.5528087615966797,100,172.568,35.11850708203578,0.1287048404094613
0.01,0.5,Fast ICP,1.4542734622955322,38,172.559,35.65873979430306,0.1311912328260011
0.01,0.5,Robust ICP,6.4156458377838135,235,15117.7,0.47952590419151014,0.0037893141432145203
0.02,0.0,Standard ICP,0.8596289157867432,74,1.59564,0.05664112656628393,0.0018340266530019079
0.02,0.0,Fast ICP,0.4540562629699707,23,1.59564,0.06871750687753558,0.0018345266798230858
0.02,0.0,Robust ICP,3.2998359203338623,194,15123.9,0.8701215722790305,0.0012932409595841226
0.02,0.1,Standard ICP,0.9833996295928955,67,39.239,4.625223424216538,0.015032116178455587
0.02,0.1,Fast ICP,0.6692023277282715,30,39.239,4.6291021719340835,0.01505763293189741
0.02,0.1,Robust ICP,4.280354738235474,219,15138.2,0.5133712241676494,0.004204280516175222
0.02,0.3,Standard ICP,1.7797112464904785,89,102.94,22.44565339054637,0.0793861019751219
0.02,0.3,Fast ICP,0.9878206253051758,32,102.94,22.690323196925075,0.07987690451732062
0.02,0.3,Robust ICP,4.932911396026611,204,15217.6,0.4599505938194422,0.0013010517958970916
0.02,0.5,Standard ICP,2.3977134227752686,100,167.433,37.27295235484397,0.13600753430249335
0.02,0.5,Fast ICP,2.0618526935577393,50,167.433,37.24651674232555,0.13599153235869915
0.02,0.5,Robust ICP,8.089980125427246,284,15273.0,1.0035047984081114,0.005876813357923017
