outlier_ratio,method,time,iters,final_energy,rot_err_fricp,trans_err_fricp,rot_err_kabsch,trans_err_kabsch,rms,energy
0.0,Standard ICP,0.2408885955810547,20,1.06237e-09,0.03609710953759191,5.451571697626492e-08,0.0,4.050532883498488e-16,2.826503740959364e-07,6.170000510508089e-08
0.0,Fast ICP,0.2499408721923828,17,0.0819488,0.5889620542285255,0.007910822141080248,0.0,4.050532883498488e-16,0.004379523910595525,14.79959905512289
0.0,Robust ICP,0.4219846725463867,47,10733.9,0.11899554209795474,0.009730106796793377,0.0,4.050532883498488e-16,0.004876950940294415,18.344156823401264
0.1,Standard ICP,0.9779527187347412,83,34.7438,6.291611449681018,0.02074200035152277,0.5897356679787693,0.029239151075345412,0.1347483420903095,1580.6763015748688
0.1,Fast ICP,0.5287716388702393,25,34.7438,6.309448414038807,0.020757082449134472,0.5897356679787693,0.029239151075345412,0.13474832421464106,1581.3427626726177
0.1,Robust ICP,0.5884425640106201,49,11210.4,0.12135845053022395,0.00973180467866075,0.5897356679787693,0.029239151075345412,0.13577384682373944,1376.4559214632302
0.2,Standard ICP,1.0569307804107666,61,74.8447,10.662303711167072,0.030745361732689172,0.33902576898906966,0.061424101347978634,0.1980391245530454,3441.526431466812
0.2,Fast ICP,0.6300618648529053,29,74.8451,10.84954004529619,0.03132360278382662,0.33902576898906966,0.061424101347978634,0.19803955941279058,3452.071543941168
0.2,Robust ICP,0.6133308410644531,36,3088.85,0.036363056527841345,6.747958500010294e-08,0.33902576898906966,0.061424101347978634,0.20138274664045652,2732.4636643028243
0.3,Standard ICP,2.1626646518707275,100,103.939,16.494052838858547,0.05070635903463477,0.6757605760796306,0.08447548781706478,0.23344197225344337,5148.147738487306
0.3,Fast ICP,1.0129053592681885,34,103.937,17.122393268474084,0.05208698270396448,0.6757605760796306,0.08447548781706478,0.2334387535603989,5172.80179540549
0.3,Robust ICP,0.7842812538146973,45,4631.37,0.036544808096718055,4.997782284802683e-08,0.6757605760796306,0.08447548781706478,0.23832846194473736,4080.5655504368187
0.4,Standard ICP,1.6820013523101807,76,135.323,19.693011502158,0.06480943005273285,1.58456915255382,0.11934940233564544,0.26633433721412814,6899.107635199201
0.4,Fast ICP,1.257336139678955,30,135.323,19.738965292391054,0.06527754921293831,1.58456915255382,0.11934940233564544,0.26633385337799237,6890.506391145831
0.4,Robust ICP,1.1964898109436035,55,6175.67,0.037849077869540504,2.2390854485492071e-07,1.58456915255382,0.11934940233564544,0.2744428020744424,5402.3577718104125
0.5,Standard ICP,2.6616053581237793,100,171.419,27.952552763640554,0.0794912842167873,1.223693669641332,0.14399013767523014,0.2996902122690602,8597.525450605663
0.5,Fast ICP,1.2120277881622314,30,171.415,28.424676809655942,0.08043085824713295,1.223693669641332,0.14399013767523014,0.2996869713270859,8614.955988036309
0.5,Robust ICP,2.2260308265686035,87,7721.09,0.020909329824929178,2.9155896611252135e-07,1.223693669641332,0.14399013767523014,0.3129746784802858,6800.60838594921
